CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore
188,47,Male,USA,56756,8,5,3,High,Bronze,92.55
189,28,Female,USA,103912,2,7,2,High,Bronze,69.02
192,56,Female,France,37624,8,7,2,Medium,Bronze,96.23
194,18,Female,USA,96950,3,5,12,High,Bronze,81.47
197,30,Male,Germany,58424,4,5,1,Low,Bronze,67.86
198,58,Female,Germany,58791,6,3,8,Medium,Silver,78.6
199,20,Female,France,108408,4,5,7,Low,Bronze,86.29
200,56,Male,Germany,30250,5,6,7,Low,Silver,90.23
201,23,Male,France,76475,3,7,10,Low,Gold,83.65
202,25,Female,UK,43803,4,4,5,Low,Silver,62.44
203,44,Female,France,43923,3,3,20,High,Gold,55.99
204,26,Female,USA,74616,4,8,14,Medium,Bronze,93.29
205,54,Male,UK,69049,6,5,7,Medium,Bronze,90.6
206,50,Female,Canada,75680,2,7,19,Low,Silver,82.42
208,59,Male,Canada,36719,1,9,14,Medium,Bronze,93.53
209,61,Male,USA,60000,8,6,3,High,Bronze,91.87
212,49,Female,USA,90570,4,7,1,Low,Silver,92.83
214,41,Female,USA,108649,8,6,6,High,Silver,94.44
216,69,Male,Germany,100685,3,2,14,High,Silver,64.29
218,66,Male,UK,88668,2,5,7,Medium,Silver,82.81
223,20,Female,Germany,67503,1,3,14,Low,Gold,55.01
224,66,Male,UK,102757,2,7,13,Low,Bronze,95.66
225,54,Female,USA,88958,3,3,12,High,Silver,78.74
226,66,Female,Canada,111710,4,3,13,High,Bronze,90
229,19,Female,Canada,116859,2,2,11,Medium,Silver,54.35
230,19,Male,France,81058,6,6,19,High,Silver,92.79
231,45,Male,Germany,48802,1,10,5,Medium,Gold,82.12
232,40,Male,Germany,59862,8,5,16,Low,Bronze,90.61
233,54,Male,Canada,39971,1,4,17,High,Silver,68.62
236,18,Male,Germany,38515,3,2,2,High,Bronze,38.9
237,36,Male,Canada,54076,4,8,17,Low,Silver,80.38
238,19,Female,France,67148,5,3,20,Medium,Silver,82.28
239,61,Female,France,77342,4,4,12,Medium,Gold,90.22
243,49,Male,USA,70679,2,10,8,Medium,Silver,94.05
244,21,Male,France,109046,9,3,8,High,Bronze,97.77
247,55,Female,UK,101153,6,7,12,Low,Silver,96.7
251,51,Female,France,98423,4,7,7,High,Gold,92.13
252,23,Female,Germany,91710,1,8,8,High,Bronze,78.48
253,39,Female,France,79740,6,9,3,Medium,Silver,93.73
254,28,Male,Canada,95195,5,5,19,High,Gold,86.09
255,65,Male,USA,59050,7,1,8,Medium,Bronze,66.78
257,50,Female,France,39759,7,4,6,Medium,Gold,82.24
259,23,Male,Germany,31712,2,7,14,High,Gold,69.13
262,20,Female,Canada,119233,2,1,15,Low,Silver,73.23
263,37,Male,Canada,93883,3,8,12,Medium,Silver,89.01
265,36,Female,USA,53933,2,3,14,High,Silver,55.66
266,43,Female,USA,117169,4,1,2,Low,Silver,70.48
267,20,Female,France,90651,9,1,11,Low,Silver,80.56
268,36,Female,UK,104142,6,1,6,Low,Gold,79.47
274,50,Male,France,99062,2,8,1,High,Gold,90.36
275,57,Male,USA,70081,6,1,18,Medium,Bronze,81.13
277,35,Male,Canada,69195,4,6,12,High,Silver,81.36
279,18,Male,France,80784,8,2,20,Low,Gold,76.92
280,28,Female,USA,41227,1,6,2,Low,Gold,37.65
281,45,Female,UK,33831,8,2,7,Low,Silver,67.54
283,67,Female,Germany,111550,1,6,19,Low,Bronze,84.45
285,48,Female,Germany,112904,1,2,19,Medium,Bronze,58.35
287,59,Male,France,86941,7,5,1,Low,Gold,98.36
288,52,Female,UK,62474,2,7,18,High,Gold,86.92
289,24,Male,Germany,74107,4,3,16,Medium,Gold,57.58
291,43,Male,Germany,112292,8,4,7,Low,Silver,85.47
293,69,Male,Canada,114296,7,1,14,Low,Silver,81.6
295,19,Male,UK,115623,4,2,9,High,Silver,62.21
298,29,Female,USA,107967,5,9,3,High,Bronze,99.27
299,22,Male,Canada,103920,9,2,12,Low,Silver,71.22
300,54,Male,Germany,83716,5,7,1,Low,Silver,98.54
301,49,Male,USA,31265,6,8,14,Medium,Bronze,93.35
302,26,Male,UK,84692,8,1,14,Medium,Bronze,79.42
304,52,Male,Canada,67296,4,5,2,Medium,Silver,84.83
305,36,Female,UK,40286,10,7,10,Low,Gold,97.61
307,33,Male,UK,117437,2,5,12,High,Gold,75.24
308,20,Male,Germany,97999,2,4,19,High,Silver,68.56
309,37,Male,Canada,65799,10,2,2,Medium,Gold,87.92
311,50,Male,Canada,111508,2,1,20,Medium,Silver,85.46
312,41,Female,USA,63322,2,3,13,Low,Gold,52.78
316,25,Male,USA,46770,5,8,2,Low,Silver,90.77
317,53,Female,Canada,69764,3,8,1,Low,Bronze,95.06
318,55,Male,Canada,68457,3,10,3,Medium,Gold,95.69
319,57,Male,USA,83082,8,4,19,Low,Silver,98.55
320,37,Male,Germany,88761,4,4,12,Medium,Gold,60.86
321,52,Female,USA,71481,6,1,1,Medium,Silver,69.67
323,42,Male,Germany,37337,1,1,12,Low,Silver,59.43
324,52,Male,Canada,48465,2,6,12,Medium,Silver,77.09
325,42,Female,USA,56777,8,4,12,High,Silver,94.41
329,35,Female,Canada,108380,6,6,16,Low,Gold,91.32
330,19,Female,Germany,103732,3,6,13,Medium,Silver,65.79
333,58,Female,USA,36888,4,2,17,High,Gold,66.07
334,53,Male,Canada,47742,6,7,4,Low,Gold,90.58
335,50,Male,Canada,115400,1,5,15,Low,Gold,81.58
336,21,Male,USA,64585,2,3,12,High,Gold,38.84
338,31,Female,USA,112646,6,5,8,High,Silver,86.84
339,38,Male,UK,31620,10,2,13,Low,Silver,70.93
343,24,Female,USA,75097,1,4,10,High,Gold,65.09
345,34,Male,France,106958,4,5,2,Low,Silver,89.1
346,50,Male,Germany,38441,2,7,2,High,Bronze,72.7
347,65,Male,France,30330,3,8,12,Low,Silver,79.73
351,39,Male,France,54025,1,8,11,Medium,Silver,75.63
353,47,Male,Germany,35569,6,2,19,Low,Bronze,81.23
358,25,Female,Canada,60769,8,5,7,High,Silver,90.51
360,44,Female,USA,35117,5,1,16,High,Bronze,62.5
363,47,Male,Canada,68276,9,2,11,Low,Bronze,96.86
366,64,Female,USA,59941,4,3,20,High,Gold,81.1
369,65,Female,France,68554,4,3,3,Medium,Bronze,85.45
376,45,Male,Germany,115373,1,2,13,High,Bronze,65.07
378,46,Male,USA,65654,2,1,13,Low,Silver,58.42
380,23,Male,France,84037,2,4,17,High,Bronze,53.56
381,52,Male,Germany,35389,5,4,2,Medium,Silver,69.92
382,58,Male,USA,75522,7,4,17,High,Bronze,88.9
383,54,Male,Germany,103172,6,6,12,High,Gold,99.94
384,41,Male,USA,58540,4,10,7,Low,Silver,99.25
385,46,Female,USA,61144,5,10,10,Medium,Silver,92.8
386,66,Male,UK,63196,6,5,13,High,Bronze,82.22
389,52,Female,USA,84715,4,5,2,Low,Silver,84.72
393,49,Male,USA,52664,9,5,7,Medium,Gold,99.65
396,20,Male,UK,30126,6,10,5,Low,Gold,96.5
399,59,Male,Germany,69996,8,1,9,Low,Bronze,85
401,20,Male,Germany,47808,9,8,18,High,Gold,99.38
404,41,Female,France,78808,6,6,5,Medium,Silver,96.44
405,67,Male,Canada,67006,9,2,6,High,Gold,91.97
406,49,Male,Canada,46698,8,3,8,Medium,Silver,77.66
408,39,Female,UK,44364,6,8,9,High,Gold,94.35
410,19,Female,USA,53513,2,9,5,High,Bronze,81.18
411,44,Female,UK,45057,10,1,18,High,Bronze,83.5
412,59,Male,USA,93959,4,9,4,Medium,Bronze,96.83
414,43,Male,USA,102247,2,2,17,Low,Gold,81.58
415,34,Female,UK,52708,9,1,20,Low,Silver,76.71
416,57,Male,USA,37692,6,1,14,Medium,Gold,84.26
417,50,Female,Canada,73845,1,3,3,Medium,Bronze,50.98
418,26,Female,UK,65594,3,1,8,Medium,Gold,48.4
419,60,Male,USA,49831,1,4,5,High,Silver,50.74
421,56,Male,France,73504,9,4,4,Low,Bronze,80.66
422,46,Male,UK,37223,4,8,1,Low,Bronze,82.57
423,59,Male,France,33336,7,6,19,Medium,Silver,87.78
424,43,Female,USA,108970,8,2,7,Medium,Silver,81.66
427,42,Male,Canada,66831,9,3,12,Low,Gold,94.02
428,41,Female,France,40989,1,2,17,High,Silver,42.03
429,30,Female,UK,70014,7,2,3,High,Gold,78.2
430,24,Male,Canada,50754,5,6,17,High,Silver,90.26
433,37,Female,France,47627,2,1,8,High,Silver,39.85
434,18,Female,USA,82483,5,3,11,Low,Gold,66.55
436,63,Female,USA,118478,1,4,10,Medium,Gold,72.55
438,31,Male,UK,35408,3,10,5,Medium,Silver,86.35
440,68,Female,France,109855,4,2,20,High,Silver,82.67
443,45,Male,France,38127,2,4,1,Low,Gold,51.89
444,51,Female,UK,43960,3,8,5,Medium,Bronze,91.84
445,19,Male,USA,73368,3,1,5,High,Bronze,45.45
446,49,Male,Canada,41426,7,1,7,High,Bronze,56.71
451,39,Male,USA,48373,2,4,17,Low,Silver,59.53
454,69,Female,Canada,65804,6,1,2,High,Gold,78.16
455,59,Female,UK,65897,4,9,4,High,Bronze,88.83
456,23,Female,USA,90011,4,7,5,Low,Silver,91.82
457,32,Male,France,79043,9,2,19,High,Silver,76.74
458,60,Female,France,89665,4,9,12,High,Gold,99.01
459,54,Male,UK,73692,2,4,12,High,Gold,65.82
460,50,Male,Germany,41386,5,6,20,High,Bronze,96.38
461,25,Male,USA,114115,2,8,1,Low,Gold,89.5
464,22,Male,Canada,98340,2,7,5,High,Gold,95.2
466,21,Female,Canada,77377,1,4,10,Medium,Silver,44.34
469,49,Male,Canada,116788,4,2,12,High,Silver,83.16
470,69,Female,USA,60597,3,1,11,High,Gold,53.28
472,64,Female,UK,45335,3,3,12,High,Gold,66.13
475,69,Female,Germany,86870,2,6,7,Low,Silver,89.02
476,33,Female,France,74495,3,2,1,High,Silver,42.66
477,30,Male,USA,71957,1,5,20,Medium,Silver,62.42
478,67,Male,Canada,61892,5,6,13,Low,Silver,73.64
480,47,Female,France,37948,9,4,9,High,Silver,79.28
483,36,Male,Germany,39864,6,10,9,High,Bronze,85.61
484,45,Male,UK,93170,9,4,6,Medium,Gold,97.55
486,54,Female,Canada,74765,7,1,20,Low,Bronze,81.49
487,43,Female,Canada,110706,2,3,14,Medium,Silver,65.65
490,29,Male,USA,32493,8,4,20,Low,Gold,95.16
491,18,Male,France,66539,2,9,8,Medium,Bronze,85.24
492,18,Female,USA,34528,1,6,7,High,Silver,51.56
494,51,Male,UK,30680,7,3,16,Medium,Bronze,73.15
496,65,Female,France,47377,3,6,18,Medium,Gold,85.68
499,62,Male,Canada,64169,4,1,10,High,Silver,75.48
504,39,Male,Canada,57063,5,1,7,Medium,Gold,72.03
505,46,Male,France,55344,2,7,11,Low,Bronze,80.75
506,20,Female,France,38384,2,5,20,Medium,Gold,54.07
509,33,Female,Canada,66097,4,7,19,Medium,Bronze,88.9
511,54,Male,USA,55516,5,2,10,Low,Gold,75.67
512,39,Male,France,61928,2,1,4,Low,Bronze,53.73
514,31,Female,UK,95750,9,3,6,High,Silver,99.62
515,45,Male,France,62445,1,5,17,High,Bronze,66.06
516,22,Male,Germany,104445,6,1,12,High,Bronze,77.29
518,66,Male,Canada,109211,3,3,18,Low,Silver,93.78
519,47,Male,Canada,34416,4,5,1,High,Bronze,73.45
520,63,Male,Canada,109479,4,6,14,Low,Gold,99.43
521,69,Female,France,99374,6,1,4,High,Silver,72.05
523,29,Male,Germany,55765,9,3,16,Low,Bronze,81.09
524,33,Male,Canada,101009,9,4,20,Low,Bronze,93.26
526,43,Female,Canada,37617,6,6,3,High,Gold,83.12
527,65,Male,France,96261,3,1,20,High,Gold,64.72
530,53,Female,UK,79890,4,2,15,Low,Gold,78.2
531,50,Male,UK,30207,10,4,6,Low,Bronze,92.15
532,47,Female,Germany,47298,4,1,5,High,Bronze,65.1
533,54,Female,Canada,52558,7,3,18,Low,Gold,76.54
534,40,Male,UK,30193,2,10,5,Low,Bronze,82.5
535,27,Female,USA,74911,2,6,5,Low,Silver,80.45
536,22,Male,USA,67572,9,1,5,Medium,Gold,74.17
537,53,Female,Germany,94993,4,5,4,Medium,Silver,94.11
539,69,Female,France,52177,2,4,9,High,Bronze,60.27
541,27,Male,UK,55379,1,4,16,High,Gold,57.7
542,36,Female,France,61915,1,2,15,High,Silver,36.34
544,18,Male,UK,89049,8,3,9,Medium,Gold,87.98
545,22,Male,Canada,119839,10,1,2,High,Silver,95.11
546,62,Female,USA,92969,4,3,10,Medium,Silver,68.79
547,21,Female,Canada,33566,8,1,10,High,Gold,83.17
549,41,Male,Germany,37426,1,1,12,High,Bronze,42.34
550,33,Male,Germany,66859,5,1,11,High,Bronze,66.72
553,45,Female,Germany,42939,10,2,3,Low,Gold,79.46
555,44,Male,France,35306,3,1,8,High,Gold,46.39
556,37,Male,France,108279,3,6,12,Low,Gold,69.93
557,41,Male,UK,34092,8,3,5,High,Bronze,80.84
558,29,Male,UK,42446,2,3,14,Medium,Gold,45.05
560,52,Male,USA,79176,6,7,17,High,Bronze,96.49
562,50,Male,Canada,85527,2,9,11,Low,Bronze,91.51
563,68,Female,UK,47927,2,9,1,Medium,Gold,83.16
564,60,Male,UK,44813,1,7,19,High,Bronze,72.27
565,54,Male,Canada,74637,2,4,9,High,Gold,78.23
566,29,Female,France,43944,2,5,10,High,Silver,67.04
567,20,Female,Canada,37002,6,6,17,Low,Bronze,74.5
568,18,Female,France,116434,2,10,15,High,Bronze,92.6
571,27,Female,USA,80964,10,2,14,High,Bronze,89.61
572,60,Male,Germany,43384,3,7,14,Medium,Bronze,79.3
573,61,Male,Germany,44487,1,5,17,Low,Silver,58.29
574,46,Female,Germany,77535,3,5,14,Low,Silver,79.37
576,29,Male,France,30253,9,1,2,High,Silver,68.69
577,48,Female,UK,73778,6,1,16,Medium,Bronze,70.46
579,19,Male,Canada,54697,2,4,1,High,Gold,44.53
583,40,Female,USA,68132,2,8,12,Medium,Bronze,70.11
586,25,Male,USA,32536,10,1,15,Low,Silver,75.48
587,46,Male,Canada,77988,2,4,2,Low,Silver,49.21
591,51,Male,Canada,53397,2,8,1,Low,Gold,63.39
593,58,Male,France,115026,6,4,8,Low,Gold,92
594,24,Female,USA,35108,7,6,12,Low,Silver,88.73
595,21,Female,USA,63718,6,6,13,High,Gold,81.31
597,62,Female,UK,81625,1,7,9,Medium,Silver,91.21
598,28,Female,Canada,117643,10,3,11,Low,Bronze,88.88
599,46,Female,UK,70626,4,1,9,High,Bronze,66.14
600,53,Male,UK,108822,1,9,12,Low,Silver,99.48
603,53,Female,UK,118295,4,6,8,High,Bronze,95.36
604,27,Female,UK,96462,8,2,20,Medium,Bronze,80.73
605,54,Male,Germany,49787,2,2,14,High,Gold,59.71
608,52,Male,Canada,70894,5,1,15,Medium,Gold,76.09
609,66,Male,France,117166,8,1,14,Low,Silver,94.6
610,52,Male,France,97422,1,4,11,Low,Gold,73.1
616,49,Female,UK,37888,5,6,18,High,Silver,84.59
617,41,Male,Germany,40325,2,6,17,Low,Silver,85.04
618,40,Female,USA,75269,4,1,20,Medium,Bronze,84.25
620,54,Male,France,72150,2,4,10,Medium,Silver,71.95
621,29,Male,France,105068,5,3,12,Medium,Silver,79.04
622,66,Female,Germany,50531,1,6,1,Medium,Gold,66.26
623,30,Male,France,48627,10,3,3,Medium,Silver,92.25
625,42,Male,France,79833,5,3,7,High,Bronze,74.12
626,52,Female,UK,100898,1,9,12,High,Bronze,91.01
627,58,Female,France,111247,3,4,14,High,Gold,91.83
628,47,Female,USA,63354,7,5,6,Low,Gold,90.33
635,30,Male,Canada,74604,10,2,9,Low,Silver,78.33
636,36,Male,France,118343,2,10,16,High,Silver,84.47
637,66,Female,USA,109507,2,5,13,Medium,Silver,96.99
638,53,Female,France,71686,6,4,6,Medium,Silver,75.4
639,29,Male,Germany,117529,1,1,13,Medium,Gold,46.5
642,29,Male,UK,52004,6,1,10,High,Bronze,59.74
644,24,Male,UK,115032,3,4,4,High,Bronze,80.2
645,45,Female,Germany,65777,6,4,13,High,Bronze,87.74
646,31,Female,Canada,77601,9,1,7,Medium,Bronze,76.06
647,48,Female,UK,56375,4,3,14,Low,Gold,77.49
648,69,Female,France,38066,3,3,12,High,Gold,54.43
652,22,Male,USA,114088,8,6,15,High,Bronze,99.58
654,29,Female,USA,110769,9,4,13,High,Gold,89.48
656,69,Female,UK,67288,6,4,8,Medium,Silver,87.14
657,38,Male,UK,85732,5,5,12,Medium,Bronze,77.28
658,53,Male,Germany,56207,5,6,5,Low,Gold,74.1
660,33,Female,USA,104158,1,6,7,Low,Silver,71.51
661,56,Female,USA,81888,7,5,1,Medium,Gold,83.63
665,31,Female,USA,36681,9,1,8,Medium,Bronze,59.13
667,22,Male,France,61873,2,2,13,High,Silver,44.95
668,52,Male,France,72421,3,10,20,High,Bronze,95.53
669,40,Female,France,96802,10,2,12,Low,Bronze,92.11
671,60,Male,UK,98773,3,5,14,Medium,Gold,91.33
672,28,Male,Canada,78404,4,3,8,High,Gold,83.83
673,35,Male,USA,96593,5,1,10,High,Gold,79.77
675,29,Female,USA,59517,6,6,6,Medium,Silver,74.23
676,26,Male,USA,53718,10,2,8,High,Bronze,80.85
679,34,Male,USA,35420,6,5,19,Low,Gold,79.29
680,55,Female,UK,57454,3,3,2,Low,Silver,53.21
681,24,Male,Canada,64798,7,2,7,High,Gold,56.96
683,30,Female,Germany,92471,5,1,19,High,Silver,78.89
685,59,Female,France,98371,6,5,20,Medium,Gold,93
686,26,Female,Germany,58351,8,1,10,High,Bronze,75.73
687,67,Male,Germany,63692,4,9,9,Medium,Silver,91.88
688,44,Female,Canada,46566,7,7,12,High,Bronze,99.92
689,19,Male,France,72251,9,1,16,High,Bronze,73.82
691,46,Female,USA,57157,2,3,12,Medium,Gold,57.51
692,54,Female,Canada,91165,5,2,17,Medium,Silver,85.67
693,55,Male,UK,49350,9,6,9,Low,Silver,99.72
694,36,Female,Canada,99932,1,10,16,High,Silver,88.55
695,25,Female,France,108873,4,3,20,High,Bronze,76.27
699,39,Female,UK,74228,5,4,4,High,Bronze,78.06
702,24,Male,France,42468,1,4,15,High,Silver,69.11
705,21,Female,France,102013,3,2,10,High,Bronze,53.51
706,53,Female,Germany,36466,1,9,6,Medium,Silver,71.38
707,23,Male,UK,48932,4,5,17,Medium,Silver,80.73
708,48,Female,UK,84757,1,1,3,High,Gold,51.46
712,44,Female,France,35744,7,2,13,Low,Gold,60.14
714,43,Female,France,57755,7,4,1,Low,Silver,84.41
715,36,Male,France,32050,3,1,10,Low,Bronze,30.52
717,20,Female,Germany,85357,4,7,2,High,Silver,93.3
719,30,Male,Germany,93161,3,8,14,High,Bronze,88.57
720,67,Female,Germany,32936,6,8,8,High,Silver,87.92
721,45,Male,Canada,51532,1,3,2,High,Silver,64.14
722,37,Male,Germany,78726,2,7,16,High,Silver,85.28
725,58,Male,France,80984,5,2,10,High,Bronze,91.38
726,56,Male,Canada,62877,5,3,9,High,Bronze,79.01
728,20,Female,UK,32684,5,6,14,High,Silver,57.17
735,23,Female,UK,35118,5,8,10,Medium,Silver,94.55
737,62,Female,USA,31453,9,1,8,Medium,Gold,86.76
738,49,Female,USA,116477,5,1,2,Medium,Gold,84.88
740,64,Female,UK,79510,4,10,5,Low,Gold,93.68
743,38,Female,USA,39044,7,2,1,High,Silver,56.86
746,53,Male,France,111840,2,5,5,High,Bronze,77.25
747,52,Male,Canada,116911,3,7,18,Low,Gold,89.22
748,36,Female,USA,104609,8,3,12,Medium,Gold,91.33
749,37,Male,Germany,41245,7,3,3,Medium,Silver,77.83
751,64,Male,Canada,115230,9,1,7,Medium,Silver,87.06
752,58,Male,USA,101651,7,6,3,Medium,Gold,95.92
754,31,Male,France,67399,2,2,8,High,Silver,43.09
755,32,Female,UK,74968,9,8,6,Low,Gold,83.54
757,18,Female,UK,35901,4,9,11,Low,Bronze,66.59
758,20,Female,UK,53258,4,3,18,Medium,Silver,55.11
760,40,Female,France,84865,2,9,18,High,Silver,86.35
762,29,Female,USA,56760,4,9,9,Low,Silver,89.54
763,27,Male,Germany,95089,3,2,2,Medium,Bronze,46.06
764,49,Male,UK,45455,6,2,5,High,Gold,63.57
765,33,Male,UK,82024,3,5,15,Medium,Silver,76.95
766,25,Male,Canada,93662,6,6,14,Medium,Silver,99.89
767,55,Male,UK,107015,1,1,1,High,Silver,53.9
768,29,Female,UK,104625,4,1,2,High,Bronze,64.06
769,41,Male,Canada,43692,6,6,7,High,Bronze,87.43
770,45,Female,France,95016,3,6,7,Low,Silver,75.61
